Customer_ID,Full_Name,Age,Gender,Marital_Status,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,Monthly_Expenses,Existing_EMI,Credit_Card_Bills,Savings_Balance,LoanAmount,Loan_Amount_Term,CIBIL_Score,Credit_History,Property_Area,Years_of_Experience,Company_Name,Vehicle_Owner,House_Owner,Mobile_Number,Email_ID,PAN_Number,Account_Type,Average_Bank_Balance,Previous_Loan_Default,Internet_Banking,Nationality,Favourite_Color,Hobby,Loan_Status
R4WATBFW,Hansh Malhotra,36,Male,Single,2,Graduate,Yes,34462,11932,19772,10028,11418,28944,601108,240,585,0,Rural,13,HCL,No,Yes,8706227804,eguha@yahoo.com,FEINF4974B,Savings,99035,Yes,No,Indian,White,Movies,N
UQMOQV0R,Tushar Din,55,Female,Single,4,Graduate,No,99409,16951,24568,4140,14469,385431,205563,240,721,1,Semiurban,3,Wipro,Yes,Yes,9870780325,qramanathan@gmail.com,FJHYJ4545I,Savings,17976,No,Yes,Indian,Green,Gaming,Y
CW23CVOT,Hridaan Kannan,41,Male,Single,2,Post Graduate,No,71495,13528,11231,9103,10952,211661,202760,180,837,1,Semiurban,12,TCS,No,No,3673781717,wkata@yahoo.com,PHJFB7926X,Savings,232102,No,Yes,Indian,Red,Gym,Y
7GCA2A3T,Sahil Vohra,49,Female,Married,2,Graduate,Yes,16675,39805,26960,5642,6370,44946,620779,360,609,0,Urban,12,Accenture,Yes,No,2747170028,khushiborde@gmail.com,KYGPZ3836D,Savings,379407,Yes,No,Indian,Red,Travel,N
S9S432FO,Hazel Kadakia,40,Female,Married,4,Graduate,No,27291,2526,14820,14771,12546,16143,538225,180,367,0,Rural,7,HCL,No,No,4637710111,vsem@yahoo.com,WDGJP6103N,Current,348557,Yes,Yes,Indian,Green,Music,N
Z2C00KKE,Umang Sule,23,Male,Married,0,Graduate,No,100864,39615,37777,18641,2088,240013,118304,300,794,1,Rural,9,Tech Mahindra,No,No,1467270090,ivankala@bava.com,ZMWLF0366E,Current,369934,No,No,Indian,Orange,Travel,Y
2BE70DW8,Prerak Sundaram,54,Male,Married,1,Graduate,Yes,30958,18364,39116,12351,9895,18674,450292,240,501,0,Semiurban,3,Wipro,No,No,9230971520,riaan51@shankar.org,RDQEP5234T,Savings,293006,Yes,Yes,Indian,Red,Music,N
RC4UE0ZO,Nirvaan Kata,35,Male,Married,4,Post Graduate,Yes,36276,24684,25304,2620,12280,43118,660037,360,528,0,Semiurban,5,Microsoft,Yes,No,3158747815,yuvraj-venkataraman@hotmail.com,JWRYW6848N,Savings,52392,Yes,No,Indian,Yellow,Music,N
936K40BS,Abram Iyengar,25,Male,Single,1,Post Graduate,Yes,29914,10092,26679,11874,2478,28851,336172,180,541,0,Semiurban,14,Tech Mahindra,No,Yes,8010031938,kohliira@yahoo.com,VOKHX2051S,Current,300167,Yes,No,Indian,Purple,Reading,N
B4FXOIVA,Yuvaan Raja,51,Female,Single,0,Post Graduate,No,118446,34732,24523,4996,12638,257140,233518,240,794,1,Urban,15,HCL,No,Yes,1652546182,asheth@hotmail.com,JYSKA0732M,Savings,374105,No,Yes,Indian,White,Travel,Y
